fips,FIPS,Name,Longitude,Latitude,State,January,February,March,April,May,June,July,August,September,October,November,December,,,,,,,,,,,
01073,01073,Jefferson County,-86.89657084,33.5543433,Alabama,43.1,46,53.4,61.5,69.6,76.9,79.7,79.1,73.8,62.5,51.7,44.5,,,,,,,,,,,
01075,01075,Lamar County,-88.09715315,33.77909349,Alabama,42.8,45.9,53.5,61.8,69.9,77.4,80.4,79.7,74.3,62.8,51.8,44.4,,,,,,,,,,,
01077,01077,Lauderdale County,-87.65411658,34.9015002,Alabama,39.4,42.4,50.4,59.5,67.7,75.4,78.7,77.7,71.9,60.3,49.1,41.4,,,,,,,,,,,
01079,01079,Lawrence County,-87.31085381,34.52223687,Alabama,40.4,43.3,51.1,59.9,68.2,75.7,78.9,78,72.3,60.9,49.8,42.3,,,,,,,,,,,
01081,01081,Lee County,-85.35522451,32.60106116,Alabama,45.6,48.2,54.9,62.4,70.5,77.2,79.2,78.8,74.4,64.1,53.9,46.5,,,,,,,,,,,
01083,01083,Limestone County,-86.98207203,34.81013487,Alabama,39.9,42.9,50.9,59.8,68,75.6,78.8,77.8,72.2,60.8,49.6,41.8,,,,,,,,,,,
01085,01085,Lowndes County,-86.65002353,32.1550404,Alabama,47.2,50.2,56.9,64.4,72,78.6,80.9,80.3,75.9,65.3,55.1,48.2,,,,,,,,,,,
01087,01087,Macon County,-85.69260703,32.38585029,Alabama,46.5,49.4,56,63.5,71.6,78.2,80.3,79.9,75.6,65,54.9,47.6,,,,,,,,,,,
01089,01089,Madison County,-86.55056927,34.76292257,Alabama,40.2,43.1,51,59.8,68,75.6,78.7,77.7,72.3,60.9,49.8,42.1,,,,,,,,,,,
01091,01091,Marengo County,-87.78920946,32.24794915,Alabama,46.6,49.5,56.6,64.1,71.8,78.6,80.9,80.3,75.7,65,54.6,47.8,,,,,,,,,,,
01093,01093,Marion County,-87.88740606,34.13691856,Alabama,41.3,44.3,52,60.5,68.7,76.2,79.3,78.6,73,61.6,50.6,43,,,,,,,,,,,
01095,01095,Marshall County,-86.30615623,34.36690867,Alabama,41,44,51.6,60.1,68.3,75.6,78.6,77.7,72.5,61.4,50.5,42.7,,,,,,,,,,,
01097,01097,Mobile County,-88.20659057,30.77909854,Alabama,50.5,53.2,59.2,66.2,73.2,79.2,81,80.8,77,67.5,57.8,51.8,,,,,,,,,,,
01099,01099,Monroe County,-87.36529615,31.57107175,Alabama,48.4,51.2,57.8,64.9,72.3,78.8,80.7,80.2,76.1,65.8,55.8,49.5,,,,,,,,,,,
01101,01101,Montgomery County,-86.20787706,32.22089414,Alabama,47.1,50,56.6,64.1,71.9,78.5,80.8,80.3,75.8,65.2,55.1,48,,,,,,,,,,,
01103,01103,Morgan County,-86.85325062,34.45331009,Alabama,40.6,43.6,51.4,60.1,68.3,75.8,78.9,77.9,72.4,61.2,50.1,42.4,,,,,,,,,,,
01105,01105,Perry County,-87.29424703,32.63859284,Alabama,45.6,48.5,55.7,63.3,71.2,78.1,80.4,79.9,75.3,64.4,53.9,46.8,,,,,,,,,,,
01107,01107,Pickens County,-88.08923504,33.28058298,Alabama,44.1,47.1,54.7,62.8,70.9,78.3,81,80.4,75.2,63.9,52.9,45.6,,,,,,,,,,,
01109,01109,Pike County,-85.94087373,31.80232564,Alabama,47.7,50.6,57,64.4,72.1,78.4,80.2,79.7,75.8,65.5,55.6,48.7,,,,,,,,,,,
01111,01111,Randolph County,-85.45918107,33.29354361,Alabama,42.3,45.2,52.3,60.2,68.2,75.2,77.8,77,72.1,61.2,50.8,43.4,,,,,,,,,,,
01113,01113,Russell County,-85.18428296,32.28806204,Alabama,47,49.6,56.2,63.7,71.7,78.3,80.3,79.8,75.6,65.2,55,47.9,,,,,,,,,,,
01115,01115,St. Clair County,-86.31476905,33.71540022,Alabama,42.5,45.5,52.8,60.8,68.9,76.2,79,78.2,73,61.8,51.1,43.9,,,,,,,,,,,
01117,01117,Shelby County,-86.66137476,33.26405258,Alabama,43.7,46.7,53.9,61.7,69.6,76.9,79.5,78.9,73.9,62.7,52.1,45,,,,,,,,,,,
01119,01119,Sumter County,-88.19904039,32.59104949,Alabama,45.8,48.9,56.2,63.8,71.6,78.7,81.1,80.7,75.7,64.6,54.1,47.2,,,,,,,,,,,
01121,01121,Talladega County,-86.16587666,33.37992421,Alabama,43.6,46.6,53.8,61.5,69.3,76.5,79.1,78.4,73.4,62.3,51.8,44.8,,,,,,,,,,,
01123,01123,Tallapoosa County,-85.79746538,32.86280802,Alabama,44.4,47.3,54.1,61.8,69.7,76.5,78.8,78.3,73.7,63,52.8,45.4,,,,,,,,,,,
01125,01125,Tuscaloosa County,-87.52558359,33.28952146,Alabama,44.2,47.1,54.7,62.8,70.8,78.2,80.8,80.3,75.3,63.9,52.9,45.7,,,,,,,,,,,
01127,01127,Walker County,-87.29727889,33.80316281,Alabama,42.6,45.5,53.1,61.3,69.4,76.9,79.8,79.2,73.8,62.4,51.4,44.1,,,,,,,,,,,
01129,01129,Washington County,-88.20819419,31.40759248,Alabama,48.6,51.6,58,65.3,72.6,79,80.9,80.6,76.2,65.9,56,49.8,,,,,,,,,,,
01131,01131,Wilcox County,-87.30786547,31.98928301,Alabama,47.5,50.3,57.3,64.4,72,78.7,80.8,80.2,75.9,65.4,55.2,48.6,,,,,,,,,,,
01133,01133,Winston County,-87.37341176,34.14959585,Alabama,40.9,43.8,51.5,60,68.1,75.5,78.6,77.8,72.4,61.1,50.2,42.7,,,,,,,,,,,
04001,04001,Apache County,-109.488754,35.39559896,Arizona,29.7,34.5,39.9,47.4,56.1,65.5,71,69.1,62.3,51.3,39.2,30.9,,,,,,,,,,,
04003,04003,Cochise County,-109.7510129,31.87959362,Arizona,43.5,46.9,51.4,58.3,66.3,75.5,78.1,75.8,71.7,61.9,50.7,44,,,,,,,,,,,
04005,04005,Coconino County,-111.7705493,35.83875351,Arizona,31.9,36.5,41.9,49.5,57.9,67.4,73.2,71.1,64.5,53.1,41.1,32.9,,,,,,,,,,,
04007,04007,Gila County,-110.8119677,33.79996932,Arizona,40.9,44.3,48.6,55.4,63.7,73.2,78.1,76,71,60.5,49,41.7,,,,,,,,,,,
04009,04009,Graham County,-109.8875198,32.93295414,Arizona,42.6,46.1,50.6,57.6,66.1,75.8,79.1,77.1,72.4,62,50.2,43.2,,,,,,,,,,,
04011,04011,Greenlee County,-109.2401561,33.21537146,Arizona,38.4,42,46.4,53.3,61.4,70.9,74.2,72.4,67.5,57.5,46,39,,,,,,,,,,,
04012,04012,La Paz County,-113.981207,33.7291609,Arizona,51.2,55.6,60.4,67.8,75.8,85,91.4,89.9,83.6,71.7,59.5,51.6,,,,,,,,,,,
04013,04013,Maricopa County,-112.4908888,33.34875974,Arizona,50.8,54.7,59.1,66.3,74.5,83.7,89.4,87.7,82.3,70.9,59,51.6,,,,,,,,,,,
04015,04015,Mohave County,-113.7581706,35.70456821,Arizona,42.3,46.2,50.9,58.3,67,76.6,82.8,81,74.3,63,51,43.2,,,,,,,,,,,
04017,04017,Navajo County,-110.3213121,35.39960537,Arizona,30.4,35.8,41.3,49,57.7,67.2,73.1,71.1,64.2,52.6,40.1,31.4,,,,,,,,,,,
04019,04019,Pima County,-111.7896381,32.09723099,Arizona,49.6,52.7,56.8,63.7,71.6,80.9,85.1,83,79,68.5,57.2,50.3,,,,,,,,,,,
04021,04021,Pinal County,-111.34488,32.90415087,Arizona,49.5,53.2,57.5,64.9,73.4,82.9,87.4,85.3,80.6,69.5,57.6,50.3,,,,,,,,,,,
04023,04023,Santa Cruz County,-110.8466869,31.52598116,Arizona,44.3,46.9,50.8,57.3,64.7,74.1,76.6,74.2,71.1,62,51.6,45.2,,,,,,,,,,,
04025,04025,Yavapai County,-112.5538467,34.59969928,Arizona,40.9,44.1,48.1,54.9,63,72.4,78.1,76.1,70.6,59.9,49,41.8,,,,,,,,,,,
04027,04027,Yuma County,-113.9058099,32.76933672,Arizona,52.8,56.9,61.6,68.3,75.7,84.2,90.6,89.8,84.2,72.7,60.7,53.1,,,,,,,,,,,
05001,05001,Arkansas County,-91.37520643,34.29076839,Arkansas,41.2,44.9,53.2,62.3,70.6,78.4,81.6,80.7,74.4,63.3,51.7,43.4,,,,,,,,,,,
05003,05003,Ashley County,-91.76814114,33.19120398,Arkansas,43.6,47.3,54.9,63.3,71.1,78.5,81.3,80.6,74.9,64,53,45.5,,,,,,,,,,,
05005,05005,Baxter County,-92.33686558,36.28715062,Arkansas,34.9,38.8,47.4,57.3,65.5,73.6,78.1,76.9,69.9,58.8,46.5,37.4,,,,,,,,,,,
05007,05007,Benton County,-94.25598718,36.33873798,Arkansas,35,39.1,47.6,57.4,65.5,73.6,78.1,77.3,70.1,59.2,46.9,37.8,,,,,,,,,,,
05009,05009,Boone County,-93.09137415,36.30874792,Arkansas,34.7,38.6,47,56.8,64.9,73.1,77.6,76.9,69.6,58.8,46.3,37.3,,,,,,,,,,,
05011,05011,Bradley County,-92.16229542,33.46613806,Arkansas,42.8,46.6,54.3,62.8,70.7,78.2,81.3,80.6,74.7,63.6,52.2,44.6,,,,,,,,,,,
05013,05013,Calhoun County,-92.50253376,33.55786388,Arkansas,42.8,46.7,54.3,62.8,70.6,78.2,81.5,80.8,74.8,63.6,52.2,44.6,,,,,,,,,,,
05015,05015,Carroll County,-93.53832319,36.34107901,Arkansas,34.9,38.8,47,56.8,65,73.1,77.6,76.8,69.8,58.9,46.6,37.5,,,,,,,,,,,
05017,05017,Chicot County,-91.29365079,33.2673446,Arkansas,43.8,47.5,55.1,63.6,71.8,79.2,81.8,80.9,75.2,64.3,53.4,45.7,,,,,,,,,,,
05019,05019,Clark County,-93.17667235,34.05108285,Arkansas,41.6,45.6,53.3,62.1,70,77.7,81.5,80.7,74.5,63.3,51.5,43.5,,,,,,,,,,,
05021,05021,Clay County,-90.41718919,36.36822542,Arkansas,35.9,39.7,48.8,59.1,68,76.5,80.1,78.5,71.5,60.2,47.6,38.5,,,,,,,,,,,
05023,05023,Cleburne County,-92.02725586,35.53853919,Arkansas,37.5,41.2,49.6,59,66.9,74.9,79.2,78.1,71.4,60.5,48.4,39.8,,,,,,,,,,,
05025,05025,Cleveland County,-92.18489948,33.89823609,Arkansas,42,45.9,53.8,62.4,70.4,78,81.3,80.5,74.4,63.3,51.7,44,,,,,,,,,,,
05027,05027,Columbia County,-93.22737493,33.2142428,Arkansas,43.8,47.6,55,63.2,71,78.4,81.7,81.1,75.3,64.4,53.1,45.6,,,,,,,,,,,
05029,05029,Conway County,-92.70098811,35.26227905,Arkansas,38.6,42.6,51,60.3,68.5,76.5,80.7,79.5,72.8,61.5,49.4,40.8,,,,,,,,,,,
05031,05031,Craighead County,-90.63270647,35.8310138,Arkansas,37,40.8,49.7,59.7,68.6,77,80.4,78.9,72.1,60.9,48.5,39.7,,,,,,,,,,,
05033,05033,Crawford County,-94.24296995,35.588841,Arkansas,37.5,41.7,49.8,59.4,67.3,75.2,79.7,79,72.1,61.3,48.8,39.8,,,,,,,,,,,
05035,05035,Crittenden County,-90.30924635,35.20762172,Arkansas,39.4,43.1,51.6,61.4,70.3,78.4,81.6,80.1,73.7,62.7,50.6,42.1,,,,,,,,,,,
05037,05037,Cross County,-90.77181286,35.29547453,Arkansas,38.8,42.6,51.3,61,69.8,77.9,81.3,79.9,73.3,62.1,49.9,41.5,,,,,,,,,,,
05039,05039,Dallas County,-92.65420664,33.96953994,Arkansas,42,45.9,53.6,62.3,70.1,77.8,81.3,80.6,74.4,63.3,51.6,43.9,,,,,,,,,,,
05041,05041,Desha County,-91.2539449,33.83346926,Arkansas,42.3,46.1,54,62.8,71.1,78.8,81.7,80.7,74.7,63.7,52.4,44.3,,,,,,,,,,,
05043,05043,Drew County,-91.71972855,33.58957425,Arkansas,42.7,46.5,54.2,62.8,70.9,78.5,81.4,80.6,74.6,63.6,52.4,44.7,,,,,,,,,,,
05045,05045,Faulkner County,-92.33201857,35.14732521,Arkansas,39.2,43.1,51.3,60.6,68.7,76.7,80.8,79.7,73,61.8,49.8,41.4,,,,,,,,,,,
05047,05047,Franklin County,-93.89070916,35.51229968,Arkansas,37.5,41.6,49.8,59.4,67.2,75.1,79.6,78.9,72.1,61.2,48.8,39.7,,,,,,,,,,,
05049,05049,Fulton County,-91.81767336,36.3818346,Arkansas,34.2,38.1,46.9,57,65.1,73.2,77.7,76.4,69.4,58.2,45.9,36.6,,,,,,,,,,,
05051,05051,Garland County,-93.15048723,34.57659951,Arkansas,40.1,43.9,51.7,60.8,68.7,76.4,80.4,79.6,73.1,62.2,50.2,42.1,,,,,,,,,,,
05053,05053,Grant County,-92.42371463,34.29002049,Arkansas,41.6,45.4,53.3,62.2,70.1,77.9,81.4,80.6,74.2,63.1,51.4,43.5,,,,,,,,,,,
05055,05055,Greene County,-90.55895377,36.11773282,Arkansas,36.3,40.2,49.2,59.3,68.2,76.6,80.2,78.6,71.7,60.4,47.9,39,,,,,,,,,,,
05057,05057,Hempstead County,-93.66809039,33.73564268,Arkansas,42.3,46.1,53.7,62.4,70.3,77.9,81.5,81,74.9,63.8,52.2,44.3,,,,,,,,,,,
05059,05059,Hot Spring County,-92.94560125,34.31751189,Arkansas,41.2,45.1,52.8,61.8,69.6,77.4,81.2,80.4,74,62.9,51.1,43.2,,,,,,,,,,,
05061,05061,Howard County,-93.99344494,34.08897983,Arkansas,41,44.7,52.3,61.1,69,76.6,80.3,79.9,73.7,62.7,50.9,42.9,,,,,,,,,,,
05063,05063,Independence County,-91.56991638,35.74143554,Arkansas,36.8,40.6,49.4,59,67.2,75.3,79.4,78.1,71.4,60.3,48,39.2,,,,,,,,,,,
05065,05065,Izard County,-91.91279069,36.09526565,Arkansas,35.4,39.3,47.9,57.7,65.9,74,78.4,77.1,70.2,59.1,46.8,37.8,,,,,,,,,,,
05067,05067,Jackson County,-91.21423884,35.59923757,Arkansas,37.4,41.3,50.2,59.8,68.4,76.6,80.3,78.9,72.2,61,48.7,40,,,,,,,,,,,
05069,05069,Jefferson County,-91.93189159,34.26882203,Arkansas,41.5,45.3,53.4,62.3,70.3,78.2,81.5,80.7,74.3,63.3,51.5,43.5,,,,,,,,,,,
05071,05071,Johnson County,-93.46000035,35.57001766,Arkansas,36.9,41,49.2,58.7,66.5,74.5,78.9,78.2,71.4,60.5,48.2,39.2,,,,,,,,,,,
05073,05073,Lafayette County,-93.60684679,33.24091819,Arkansas,43.7,47.5,55,63.2,71.2,78.7,82,81.4,75.5,64.6,53.2,45.6,,,,,,,,,,,
05075,05075,Lawrence County,-91.1070497,36.04103952,Arkansas,36.2,40.1,49.1,59,67.7,76,79.8,78.4,71.5,60.2,47.7,38.8,,,,,,,,,,,
05077,05077,Lee County,-90.78211015,34.78064921,Arkansas,40.2,44,52.4,61.6,70.4,78.3,81.4,80.1,73.8,62.8,51,42.7,,,,,,,,,,,
05079,05079,Lincoln County,-91.73333878,33.95753882,Arkansas,42,45.8,53.7,62.5,70.6,78.4,81.6,80.7,74.6,63.4,51.9,44,,,,,,,,,,,
05081,05081,Little River County,-94.2339787,33.70228691,Arkansas,42.5,46.3,53.7,62.3,70.2,77.9,81.5,81.1,74.8,63.8,52.4,44.4,,,,,,,,,,,
05083,05083,Logan County,-93.71630518,35.21550403,Arkansas,38.5,42.6,50.8,60.2,68.2,76.2,80.5,79.8,73.1,61.8,49.5,40.7,,,,,,,,,,,
05085,05085,Lonoke County,-91.88791683,34.75441172,Arkansas,40.5,44.2,52.6,61.7,69.9,77.9,81.4,80.5,73.9,62.8,50.9,42.6,,,,,,,,,,,
05087,05087,Madison County,-93.72465597,36.01103565,Arkansas,35,38.9,46.9,56.5,64.3,72.2,76.6,75.9,69.1,58.6,46.3,37.5,,,,,,,,,,,
05089,05089,Marion County,-92.68397295,36.26842934,Arkansas,34.8,38.8,47.4,57.2,65.4,73.6,78.1,77.1,69.9,58.9,46.5,37.4,,,,,,,,,,,
05091,05091,Miller County,-93.89142003,33.31200171,Arkansas,43.8,47.5,55,63.2,71.2,78.8,82.2,81.7,75.7,64.7,53.4,45.7,,,,,,,,,,,
05093,05093,Mississippi County,-90.05430077,35.76420127,Arkansas,37.9,41.4,50.3,60.3,69.5,77.8,81,79.3,72.6,61.5,49.3,40.6,,,,,,,,,,,
05095,05095,Monroe County,-91.20394825,34.67772323,Arkansas,40.4,44.1,52.5,61.8,70.3,78.3,81.5,80.4,74,62.8,51,42.7,,,,,,,,,,,
05097,05097,Montgomery County,-93.65944523,34.53888136,Arkansas,39.6,43.4,51.1,60.1,68.1,75.7,79.6,79,72.6,61.6,49.5,41.5,,,,,,,,,,,
05099,05099,Nevada County,-93.30697684,33.66338522,Arkansas,42.5,46.4,54.1,62.6,70.5,78.1,81.7,81,75,63.9,52.3,44.4,,,,,,,,,,,
05101,05101,Newton County,-93.2178649,35.91979049,Arkansas,34.8,38.7,46.8,56.4,64.2,72.2,76.6,76.1,69,58.4,46.1,37.4,,,,,,,,,,,
05103,05103,Ouachita County,-92.88191217,33.59337533,Arkansas,43.1,46.9,54.5,63,70.8,78.4,81.8,81.1,75.2,64,52.6,44.9,,,,,,,,,,,
05105,05105,Perry County,-92.93150636,34.947251,Arkansas,39.5,43.4,51.5,60.8,69,76.9,81,80,73.3,62.2,50,41.6,,,,,,,,,,,
05107,05107,Phillips County,-90.84810681,34.42853288,Arkansas,40.8,44.6,52.9,62,70.6,78.4,81.4,80.3,74.2,63.2,51.5,43.2,,,,,,,,,,,
05109,05109,Pike County,-93.65621,34.16356461,Arkansas,40.8,44.6,52.2,61,69,76.6,80.4,79.9,73.6,62.5,50.7,42.7,,,,,,,,,,,
05111,05111,Poinsett County,-90.66282507,35.57408383,Arkansas,37.8,41.6,50.4,60.3,69.3,77.5,80.9,79.4,72.7,61.5,49.2,40.5,,,,,,,,,,,
05113,05113,Polk County,-94.2279123,34.48595315,Arkansas,38.9,42.7,50.2,59.3,67.1,74.5,78.5,78,71.7,60.9,48.9,40.8,,,,,,,,,,,
05115,05115,Pope County,-93.03400145,35.4476948,Arkansas,37.4,41.5,49.8,59.2,67.3,75.2,79.5,78.5,71.7,60.6,48.4,39.7,,,,,,,,,,,
05117,05117,Prairie County,-91.55194184,34.83010091,Arkansas,40.3,44.1,52.5,61.7,70,78.1,81.5,80.4,73.9,62.8,50.8,42.6,,,,,,,,,,,
05119,05119,Pulaski County,-92.31191414,34.76993891,Arkansas,40.4,44.3,52.4,61.6,69.6,77.6,81.3,80.4,73.8,62.7,50.7,42.5,,,,,,,,,,,
05121,05121,Randolph County,-91.02752205,36.34154412,Arkansas,35.4,39.3,48.3,58.4,67,75.3,79.4,77.9,70.9,59.6,47.1,37.9,,,,,,,,,,,
05123,05123,St. Francis County,-90.74840472,35.02180511,Arkansas,39.6,43.4,52,61.4,70.2,78.2,81.4,80.1,73.7,62.6,50.6,42.2,,,,,,,,,,,
05125,05125,Saline County,-92.67655329,34.64661779,Arkansas,40.5,44.2,52.1,61.3,69.2,77,80.9,80,73.5,62.5,50.6,42.5,,,,,,,,,,,
05127,05127,Scott County,-94.06315729,34.86103868,Arkansas,38.7,42.7,50.4,59.8,67.7,75.5,79.6,79,72.3,61.3,49.1,40.7,,,,,,,,,,,
05129,05129,Searcy County,-92.69933958,35.91115674,Arkansas,35.3,39.2,47.5,57.1,65.1,73.2,77.5,76.6,69.6,58.8,46.5,37.8,,,,,,,,,,,
05131,05131,Sebastian County,-94.27397371,35.19943145,Arkansas,38.7,42.8,50.9,60.4,68.4,76.4,80.8,80.2,73.1,62,49.7,40.8,,,,,,,,,,,
05133,05133,Sevier County,-94.24072249,33.9971421,Arkansas,41.3,45.2,52.7,61.5,69.4,77,80.7,80.3,74.1,63.1,51.3,43.2,,,,,,,,,,,
05135,05135,Sharp County,-91.47928351,36.16124847,Arkansas,35.1,39,47.9,57.8,66.1,74.2,78.5,77.1,70.2,59,46.6,37.5,,,,,,,,,,,
05137,05137,Stone County,-92.15689859,35.86003074,Arkansas,36,39.8,48.2,57.9,65.8,73.8,78.2,77.1,70.3,59.3,47.2,38.4,,,,,,,,,,,
05139,05139,Union County,-92.59770646,33.17125929,Arkansas,43.7,47.5,54.9,63.2,70.9,78.4,81.5,80.9,75.1,64.2,53,45.5,,,,,,,,,,,
05141,05141,Van Buren County,-92.51610324,35.58054667,Arkansas,36.8,40.7,48.9,58.4,66.3,74.3,78.5,77.5,70.7,59.7,47.6,39.1,,,,,,,,,,,
05143,05143,Washington County,-94.21571712,35.97899668,Arkansas,35.6,39.6,47.8,57.4,65.3,73.2,77.6,76.9,70,59.4,47,38.2,,,,,,,,,,,
05145,05145,White County,-91.74548804,35.25612459,Arkansas,38.8,42.7,51.2,60.4,68.6,76.6,80.6,79.4,72.9,61.9,49.7,41.2,,,,,,,,,,,
05147,05147,Woodruff County,-91.24302721,35.18620495,Arkansas,39,42.9,51.5,60.9,69.6,77.6,81.2,79.8,73.3,62.1,49.9,41.5,,,,,,,,,,,
05149,05149,Yell County,-93.41105962,35.00270728,Arkansas,39.2,43.1,51.2,60.6,68.7,76.6,80.8,79.9,73.3,62,49.8,41.2,,,,,,,,,,,
06001,06001,Alameda County,-121.888612,37.64642367,California,46.4,49.5,51.9,55.2,59.8,65,69.1,68.9,67.2,61.5,53.1,47.1,,,,,,,,,,,
06003,06003,Alpine County,-119.8206263,38.59721624,California,29.4,30.3,33.5,38.7,45.3,53.3,61.2,60.3,54.2,45.5,36.7,31,,,,,,,,,,,
